Year,Month,point_id,NDVI,NDMI,NDWI,EVI,LST,Rainfall,Rainfall_lag1,CHS_raw,CHS
2025,8,31,0.685492814,0.178931057,-0.618574977,0.35461941,24.04222765,332.4749732,52.11001057,0.757803352,0.692637723
2025,9,31,0.679364741,0.200768739,-0.630808175,0.353042753,23.31646648,147.8777466,332.4749732,0.989957763,0.715787967
2019,6,32,0.511272967,0.062734336,-0.484566808,0.349653654,29.95504155,54.79325208,75.8327055,-0.451015479,0.572095316
2019,7,32,0.135656506,0.023752969,-0.125501081,0.219470452,25.18349261,595.4913273,54.79325208,-2.379803263,0.379758204
2019,8,32,0.361319512,0.24602741,-0.249242336,0.261300418,23.59443906,336.0579643,595.4913273,-0.457953615,0.57140345
2019,9,32,0.678796709,0.208627596,-0.515549719,0.49838572,22.04430748,184.586916,336.0579643,1.087784199,0.725543138
2020,6,32,0.586815774,0.043806329,-0.515458107,0.118351902,27.34475531,77.59940062,184.586916,-0.680760065,0.549185377
2020,7,32,0.097859763,-0.003215839,-0.071633182,0.213248216,23.70908818,331.4375397,77.59940062,-2.712779353,0.346554106
2020,8,32,0.140675798,0.127224416,-0.106597587,0.253588043,22.89327793,687.6690636,331.4375397,-1.774138163,0.440154623
2020,9,32,0.469298244,0.211162582,-0.469298244,0.441043873,24.09359418,76.17585757,687.6690636,0.576738632,0.6745821
2021,6,32,0.319932759,0.036412813,-0.300291479,0.266941135,26.99305402,60.68478394,76.17585757,-1.534452978,0.464055831
2021,7,32,0.595433474,0.0678128,-0.569122791,0.302837857,23.37899584,697.9834614,60.68478394,0.047094135,0.621766392
2021,8,32,0.351417989,0.187198594,-0.238418072,0.365917751,22.76413897,238.4219208,697.9834614,-0.415769064,0.575610059
2021,9,32,0.64660567,0.259794593,-0.482444733,0.325591544,21.93045014,404.0844498,238.4219208,0.71358678,0.688228483
2022,6,32,0.447397172,-0.03628847,-0.516580105,0.250306943,30.75405817,98.8077569,404.0844498,-0.859407119,0.531370841
2022,8,32,0.449215919,0.202826589,-0.318998873,0.251454125,22.06457756,324.6332436,98.8077569,-0.560121411,0.561215363
2022,9,32,0.34781149,0.177850381,-0.292149603,0.331995286,22.02842798,159.6810459,324.6332436,-0.64161936,0.553088455
2023,6,32,0.502976179,0.088856161,-0.510845184,0.256634144,25.36889197,180.9176321,159.6810459,-0.389682079,0.578211431
2023,7,32,0.64395231,0.079148933,-0.603655994,0.295936742,23.22297784,773.3949928,180.9176321,0.348871755,0.651859404
2023,8,32,0.389012963,0.02134647,-0.34225291,0.470412942,21.39268467,309.1897221,773.3949928,-0.332360054,0.583927536
2023,9,32,0.686532557,0.243316531,-0.627308607,0.411339335,22.70561634,243.6083412,309.1897221,1.279563071,0.744667167
2024,6,32,0.457484186,-0.008335317,-0.507209241,0.253907019,31.13915512,45.92871539,243.6083412,-0.874039686,0.529911694
2024,7,32,0.178687617,0.207548991,-0.115503259,-0.008634261,24.08902124,458.3084221,45.92871539,-2.218917896,0.395801559
2024,8,32,0.194209889,0.043478262,-0.151162788,0.195483244,22.65131579,494.762518,458.3084221,-1.915340605,0.426074034
2024,9,32,0.550565422,0.200273573,-0.435702533,0.464078182,22.36883657,217.7574791,494.762518,0.618033981,0.678700038
2025,6,32,0.53242439,0.079076074,-0.520598114,0.352192605,25.2548638,89.57759454,217.7574791,-0.105218203,0.606577932
2025,8,32,0.326938897,0.064046159,-0.272354215,0.291461916,22.40036011,676.1384201,694.7992949,-0.873269803,0.529988466
2025,9,32,0.28125,0.093374006,-0.201465204,0.178346952,21.74990997,239.1586523,676.1384201,-1.3821383,0.479244523
2019,7,33,0.354231566,0.126478165,-0.314119458,0.191833922,17.64111729,269.5386295,68.22471154,-1.138364524,0.503553441
2019,8,33,-0.036908381,0.155584499,0.061362676,0.386715196,17.44093185,244.8241253,269.5386295,-2.228422453,0.394853772
2019,9,33,0.497661442,0.22577323,-0.362957537,0.135141356,17.77867872,168.682641,244.8241253,-0.416479261,0.575539239
2020,6,33,0.747928917,0.087334536,-0.760617554,0.212445999,19.76541725,88.93756354,168.682641,0.689528144,0.685829376
2020,7,33,0.13611111,0.050625816,-0.105903558,0.312530882,19.42376217,192.8631992,88.93756354,-2.11715408,0.405949362
2020,8,33,0.04463321,0.195286274,-0.002178253,0.053315225,14.28057024,380.9647474,192.8631992,-2.483585394,0.369409136
2020,9,33,0.731499672,0.176689982,-0.641216636,0.202619279,20.18207928,53.96144613,380.9647474,0.767537861,0.69360844
